id,class
0,2
1,1
2,4
3,0
4,3
5,0
6,3
7,0
8,0
9,3
10,4
11,1
12,2
13,4
14,0
15,2
16,3
17,3
18,4
19,1
20,1
21,1
22,1
23,0
24,4
25,3
26,3
27,2
28,4
29,0
30,3
31,3
32,0
33,4
34,1
35,0
36,0
37,1
38,2
39,3
40,0
41,3
42,1
43,2
44,4
45,4
46,1
47,2
48,3
49,3
50,4
51,0
52,1
53,3
54,2
55,4
56,0
57,1
58,2
59,3
60,2
61,3
62,4
63,1
64,0
65,0
66,4
67,2
68,0
69,1
70,1
71,2
72,4
73,0
74,3
75,1
76,3
77,4
78,0
79,2
80,3
81,4
82,2
83,0
84,3
85,2
86,4
87,1
88,2
89,4
90,0
91,2
92,4
93,4
94,3
95,4
96,2
97,0
98,0
99,3
100,4
101,4
102,3
103,3
104,1
105,1
106,4
107,1
108,3
109,2
110,4
111,0
112,3
113,2
114,4
115,0
116,1
117,3
118,3
119,3
120,3
121,3
122,3
123,1
124,1
125,3
126,2
127,1
128,2
129,0
130,1
131,4
132,3
133,4
134,3
135,1
136,3
137,2
138,3
139,4
140,0
141,2
142,4
143,1
144,1
145,0
146,1
147,2
148,2
149,0
150,3
151,2
152,0
153,1
154,4
155,0
156,3
157,4
158,0
159,0
160,1
161,4
162,0
163,1
164,0
165,2
166,2
167,1
168,1
169,0
170,0
171,4
172,1
173,2
174,3
175,1
176,2
177,2
178,1
179,4
180,2
181,1
182,4
183,3
184,0
185,2
186,1
187,0
188,4
189,3
190,2
191,1
192,4
193,1
194,1
195,2
196,3
197,0
198,4
199,1
200,1
201,2
202,2
203,4
204,0
205,0
206,4
207,4
208,2
209,3
210,2
211,4
212,3
213,3
214,0
215,2
216,1
217,0
218,3
219,0
220,2
221,0
222,2
223,1
224,4
225,4
226,3
227,1
228,0
229,2
230,4
231,0
232,2
233,4
234,4
235,2
236,0
237,1
238,3
239,4
240,0
241,4
242,4
243,3
244,2
245,4
246,1
247,3
248,4
249,0
250,3
251,0
252,0
253,4
254,1
255,1
256,0
257,4
258,3
259,2
260,4
261,4
262,0
263,4
264,0
265,2
266,1
267,4
268,0
269,3
270,1
271,2
272,0
273,3
274,3
275,3
276,0
277,4
278,0
279,1
280,3
281,1
282,4
283,3
284,4
285,2
286,0
287,4
288,4
289,4
290,0
291,2
292,4
293,3
294,3
295,1
296,2
297,4
298,2
299,0
300,3
301,2
302,4
303,4
304,1
305,2
306,4
307,4
308,2
309,4
310,4
311,2
312,4
313,1
314,2
315,1
316,3
317,2
318,1
319,0
320,2
321,1
322,3
323,0
324,4
325,2
326,3
327,0
328,2
329,1
330,1
331,4
332,1
333,2
334,3
335,4
336,1
337,3
338,0
339,2
340,3
341,2
342,0
343,4
344,2
345,1
346,3
347,4
348,2
349,2
350,3
351,0
352,4
353,3
354,2
355,3
356,3
357,0
358,3
359,3
360,1
361,4
362,0
363,2
364,4
365,0
366,3
367,4
368,2
369,4
370,0
371,0
372,2
373,1
374,4
375,3
376,1
377,0
378,3
379,1
380,0
381,1
382,2
383,2
384,2
385,2
386,3
387,4
388,3
389,1
390,2
391,4
392,3
393,0
394,0
395,1
396,1
397,1
398,3
399,4
400,4
401,0
402,1
403,2
404,2
405,0
406,4
407,1
408,2
409,3
410,0
411,4
412,3
413,4
414,2
415,2
416,3
417,0
418,0
419,0
420,1
421,4
422,2
423,3
424,0
425,3
426,2
427,0
428,3
429,3
430,2
431,1
432,4
433,4
434,3
435,2
436,4
437,1
438,3
439,1
440,0
441,2
442,4
443,3
444,0
445,0
446,4
447,4
448,3
449,1
450,1
451,4
452,0
453,2
454,0
455,0
456,4
457,3
458,1
459,0
460,1
461,4
462,3
463,0
464,2
465,4
466,0
467,1
468,2
469,3
470,1
471,3
472,0
473,4
474,1
475,4
476,2
477,1
478,3
479,0
480,2
481,2
482,1
483,3
484,1
485,4
486,2
487,0
488,4
489,3
490,4
491,0
492,2
493,1
494,2
495,4
496,0
497,3
498,3
499,2
500,1
501,3
502,4
503,1
504,4
505,4
506,3
507,4
508,0
509,4
510,3
511,0
512,4
513,2
514,4
515,4
516,3
517,2
518,3
519,4
520,2
521,1
522,0
523,3
524,4
525,2
526,3
527,0
528,1
529,4
530,0
531,1
532,2
533,4
534,3
535,4
536,3
537,0
538,2
539,1
540,2
541,1
542,4
543,2
544,1
545,4
546,0
547,1
548,0
549,3
550,2
551,3
552,2
553,1
554,1
555,2
556,0
557,4
558,1
559,3
560,3
561,0
562,1
563,2
564,1
565,3
566,2
567,4
568,4
569,0
570,2
571,0
572,0
573,3
574,4
575,2
576,4
577,3
578,0
579,4
580,0
581,3
582,1
583,2
584,4
585,4
586,0
587,0
588,1
589,3
590,4
591,1
592,0
593,3
594,1
595,1
596,2
597,3
598,2
599,4
600,1
601,4
602,0
603,1
604,4
605,1
606,4
607,0
608,1
609,3
610,1
611,3
612,4
613,3
614,4
615,0
616,2
617,3
618,1
619,4
620,3
621,2
622,0
623,2
624,4
625,3
626,2
627,0
628,1
629,1
630,2
631,0
632,2
633,0
634,4
635,2
636,4
637,0
638,0
639,3
640,4
641,2
642,1
643,1
644,2
645,4
646,2
647,0
648,3
649,4
650,0
651,0
652,4
653,0
654,2
655,2
656,4
657,1
658,0
659,2
660,2
661,2
662,0
663,1
664,1
665,3
666,1
667,2
668,0
669,2
670,0
671,3
672,1
673,2
674,4
675,2
676,4
677,1
678,3
679,0
680,2
681,2
682,0
683,3
684,4
685,0
686,0
687,2
688,3
689,1
690,4
691,2
692,3
693,3
694,1
695,1
696,3
697,2
698,4
699,0
700,2
701,4
702,1
703,3
704,0
705,4
706,1
707,0
708,2
709,3
710,0
711,1
712,4
713,3
714,0
715,3
716,4
717,3
718,2
719,4
720,1
721,3
722,1
723,3
724,2
725,3
726,1
727,0
728,0
729,0
730,4
