id,class
0,2
1,2
2,4
3,4
4,1
5,4
6,4
7,4
8,4
9,2
10,4
11,0
12,2
13,0
14,0
15,2
16,3
17,3
18,3
19,4
20,3
21,1
22,1
23,0
24,0
25,3
26,3
27,2
28,4
29,0
30,0
31,3
32,0
33,4
34,4
35,0
36,0
37,2
38,0
39,0
40,0
41,3
42,0
43,2
44,4
45,1
46,1
47,3
48,3
49,3
50,4
51,0
52,1
53,0
54,2
55,4
56,3
57,1
58,2
59,3
60,3
61,3
62,4
63,1
64,0
65,0
66,4
67,2
68,3
69,1
70,2
71,2
72,3
73,4
74,1
75,1
76,3
77,4
78,0
79,2
80,3
81,4
82,2
83,0
84,1
85,2
86,4
87,1
88,2
89,2
90,0
91,2
92,4
93,0
94,3
95,4
96,2
97,2
98,1
99,0
100,4
101,4
102,3
103,2
104,4
105,3
106,4
107,1
108,3
109,2
110,4
111,0
112,3
113,0
114,1
115,3
116,1
117,3
118,3
119,3
120,1
121,3
122,3
123,1
124,0
125,3
126,0
127,0
128,2
129,0
130,1
131,2
132,0
133,4
134,3
135,0
136,1
137,0
138,2
139,3
140,0
141,2
142,4
143,1
144,1
145,1
146,3
147,3
148,2
149,0
150,2
151,2
152,2
153,2
154,0
155,3
156,3
157,4
158,0
159,3
160,0
161,0
162,2
163,2
164,0
165,3
166,4
167,3
168,1
169,2
170,0
171,4
172,1
173,2
174,3
175,2
176,1
177,2
178,0
179,4
180,2
181,1
182,4
183,3
184,0
185,2
186,1
187,1
188,4
189,3
190,2
191,1
192,4
193,4
194,1
195,2
196,1
197,1
198,2
199,1
200,1
201,2
202,3
203,4
204,0
205,1
206,4
207,2
208,2
209,2
210,2
211,1
212,3
213,4
214,0
215,2
216,1
217,4
218,0
219,4
220,2
221,0
222,2
223,1
224,4
225,4
226,3
227,1
228,4
229,2
230,4
231,4
232,2
233,4
234,4
235,4
236,3
237,1
238,3
239,4
240,4
241,4
242,4
243,3
244,2
245,4
246,1
247,4
248,3
249,1
250,3
251,0
252,0
253,4
254,1
255,3
256,0
257,3
258,3
259,2
260,1
261,4
262,0
263,3
264,2
265,2
266,1
267,2
268,0
269,1
270,1
271,2
272,0
273,1
274,3
275,3
276,2
277,4
278,0
279,1
280,3
281,3
282,4
283,2
284,4
285,2
286,0
287,4
288,1
289,3
290,4
291,2
292,4
293,4
294,3
295,1
296,2
297,4
298,2
299,0
300,3
301,2
302,4
303,4
304,0
305,2
306,0
307,4
308,2
309,4
310,4
311,4
312,4
313,1
314,0
315,1
316,3
317,2
318,3
319,0
320,1
321,4
322,3
323,0
324,4
325,2
326,3
327,0
328,2
329,3
330,1
331,4
332,1
333,4
334,3
335,4
336,1
337,3
338,0
339,2
340,3
341,2
342,3
343,3
344,2
345,1
346,4
347,3
348,4
349,2
350,3
351,0
352,4
353,1
354,2
355,3
356,3
357,0
358,3
359,3
360,1
361,2
362,0
363,2
364,1
365,0
366,0
367,4
368,2
369,0
370,0
371,2
372,2
373,3
374,3
375,3
376,1
377,0
378,4
379,3
380,0
381,1
382,4
383,2
384,4
385,2
386,3
387,4
388,3
389,1
390,1
391,4
392,3
393,1
394,0
395,1
396,1
397,1
398,3
399,4
400,4
401,0
402,1
403,4
404,4
405,2
406,4
407,1
408,2
409,2
410,0
411,1
412,3
413,0
414,2
415,2
416,0
417,2
418,0
419,4
420,1
421,4
422,2
423,3
424,0
425,3
426,2
427,0
428,1
429,3
430,0
431,1
432,4
433,4
434,3
435,2
436,4
437,1
438,3
439,1
440,0
441,2
442,4
443,3
444,0
445,0
446,4
447,0
448,3
449,2
450,1
451,3
452,3
453,2
454,0
455,0
456,3
457,3
458,1
459,0
460,1
461,4
462,3
463,0
464,2
465,4
466,0
467,1
468,2
469,3
470,4
471,3
472,0
473,4
474,1
475,4
476,2
477,2
478,3
479,0
480,2
481,4
482,1
483,3
484,1
485,4
486,2
487,4
488,4
489,3
490,1
491,3
492,2
493,1
494,2
495,3
496,1
497,3
498,1
499,2
500,1
501,3
502,4
503,2
504,4
505,4
506,2
507,2
508,0
509,4
510,3
511,0
512,0
513,2
514,4
515,2
516,0
517,2
518,3
519,0
520,4
521,0
522,4
523,3
524,4
525,2
526,4
527,4
528,1
529,2
530,0
531,1
532,2
533,4
534,2
535,4
536,0
537,3
538,0
539,1
540,2
541,1
542,4
543,2
544,1
545,4
546,1
